coin_ticker,2013_high,2015_low,2018_high,2018_low,2021_high,2022_low,present_day
BTC,829.99,269.33,13444.88,3467.16,67549.14,15760.19,59166.94
ETH,0,0,757.22,90.77,4810.97,1105.99,2599.18
USDT,0,0.99,1.003,1.002,1.001,0.9988,1
BNB,0,0,8.48,4.674,653.81,253.56,529.6
SOL,0,0,0,0,248.35,11.83,139.22
USDC,0,0,0,1.018,0.9998,0.9999,1
XRP,0,0,2.05,0.3022,1.283,0.364,0.5653
STETH,0,0,0,0,0,1090.06,2597.54
TON,0,0,0,0,8.937,1.135,1.028
DOGE,0,0.0001585,0.008691,0.002078,0.2822,0.0746,0.1011
TRX,0,0,0.0579,0.0135,0.11,0.05148,0.136
ADA,0,0,0.7022,0.02983,2.126,0.3043,0.3325
WSTETH,,,,,,,
WBTC,0,0,0,0,67549.14,15681.39,59090.02
AVAX,0,0,0,0,91.46,11.82,20.43
SHIB,0,0,0,0,5.521e-05,8.41e-06,1.328e-05
WETH,,,,,,,
BCH,0,0,2317.9,115.19,638.4,103.22,344.71
LINK,0,0,0.7199,0.218,34.49,5.869,10.07
DOT,0,0,0,0,53.39,5.18,4.314
LEO,0,0,0,0,3.28,3.9,5.812
DAI,0,0,1.1,1.014,0.9952,0.9992,0.9999
LTC,13.28,1.73,224.34,24.36,228.91,61.25,67.41
UNI,0,0,0,0,26.26,5.186,6.421
NEAR,0,0,0,0,10.72,1.561,3.95
KAS,0,0,0,0,0,0,0.1745
WEETH,0,0,0,0,0,0,2711.77
MATIC,0,0,0,0,1.895,0.7953,0.4045
ICP,0,0,0,0,54.77,3.623,7.07
USDE,0,0,0,0,0,0,0.9994
PEPE,0,0,0,0,0,0,7.18e-06
APT,0,0,0,0,0,4.056,5.88
XLM,0,0.004915,0.484,0.1153,0.3783,0.08422,0.09545
ETC,0,0,29.23,3.91,56.61,18.01,18.65
XMR,0,0,339.75,44.17,274.99,126.12,148.98
CRO,0,0,0,0,0.3929,0.06339,0.08849
FDUSD,0,0,0,0,0,0,1
OKB,0,0,0,0.685,31.11,19.81,36.77
STX,0,0,0.9581,0.01387,2.304,0.2161,1.475
SUI,0,0,0,0,0,0,0.8131
FET,0,0,0,0,0.8599,0.0548,0.8221
FIL,0,0,0,0,64.27,4.162,3.524
MNT,,,,,,,
TAO,0,0,0,0,0,0,268
HBAR,0,0,0,0,0.4226,0.04505,0.05174
MKR,0,0,1020.87,329,3302.21,635.08,1960.08
ATOM,0,0,0,0,36.65,9.003,4.626
VET,0,0,2.395,0.003875,0.1761,0.0177,0.02211
ARB,0,0,0,0,0,0,0.5346
INJ,0,0,0,0,13.35,1.567,18.28
IMX,0,0,0,0,0,0.4134,1.115
RENDER,0,0,0,0,0,0,4.456
AAVE,0,0,0,0,332.48,55.86,110.35
WBT,0,0,0,0,0,0,10.66
OP,0,0,0,0,0,0.8458,1.284
RETH,,,,,,,
AR,0,0,0,0,78.9,9.16,21.15
WIF,0,0,0,0,0,0,1.383
METH,0,0,0,0,0,0,2710.57
GRT,0,0,0,0,1.136,0.0537,0.1365
BGB,0,0,0,0,0,0,0.922
RUNE,0,0,0,0,13.75,1.098,3.741
BONK,0,0,0,0,0,0,1.765e-05
HNT,0,0,0,0,42.71,2.124,7.259
THETA,0,0,0,0.04849,7.88,0.8292,1.142
EZETH,,,,,,,
FLOKI,0,0,0,0,0,0,0.0001131
NOT,0,0,0,0,0,0,0.01056
FTM,0,0,0,0,3.161,0.169,0.3814
TIA,0,0,0,0,0,0,5.104
ONDO,0,0,0,0,0,0,0.695
JUP,0,0,0,0,0,0,0.7428
PYTH,0,0,0,0,0,0,0.2719
JASMY,0,0,0,0,0.2244,0.003711,0.02016
ALGO,0,0,0,0,2.048,0.2447,0.1158
GT,0,0,0,0,7.309,3.382,7.266
KCS,0,0,3.736,0.4771,23.77,6.529,7.983
QNT,0,0,0,0,254.99,105,62.49
LDO,0,0,0,0,0,1.107,1.019
CORE,0,0,0,0,0,0,1
SEI,0,0,0,0,0,0,0.263
EETH,,,,,,,
BSV,0,0,0,94.72,178.13,37,43.17
FTN,,,,,,,
FLOW,0,0,0,0,13.91,1.12,0.5241
BRETT,0,0,0,0,0,0,0.07905
PYUSD,0,0,0,0,0,0,1
OM,0,0,0,0,0.2425,0.02909,0.8966
EOS,0,0,7.64,1.95,4.86,0.8516,0.5063
USDD,0,0,0,0,0,0.9886,1.001
BTT,0,0,0,0,0.004089,6.5e-07,7.3e-07
MSOL,0,0,0,0,0,0,169.1
FLR,0,0,0,0,0,0,0.01523
EGLD,0,0,0,0,309.51,40.55,25.85
AXS,0,0,0,0,153.39,6.258,4.6
RSETH,,,,,,,
DYDX,0,0,0,0,17.34,1.829,1.072
ZEC,0,0,517.76,56.58,170.77,37.59,43.58
NEO,0,0,78.36,6.087,50.53,6.43,9.309
FRAX,0,0,0,0,0,1.003,0.9954
